intensity_in R_out G_out B_out
2.156862745098039325e-01 4.979572382094258343e-01 4.644203640128239940e-01 5.277473307974260841e-01
2.196078431372548989e-01 5.020523695495628935e-01 4.686233489032048949e-01 5.317244157613604250e-01
2.235294117647058654e-01 5.061078042033204660e-01 4.727889717037674910e-01 5.356602849654541476e-01
2.274509803921568596e-01 5.101246134532897436e-01 4.769182114284973295e-01 5.395560775707827217e-01
2.313725490196078538e-01 5.141038217805093957e-01 4.810120050680729564e-01 5.434128822473680565e-01
2.352941176470588203e-01 5.180464096643974115e-01 4.850712500726659382e-01 5.472317402261263064e-01
2.392156862745097867e-01 5.219533161714866587e-01 4.890968066492663024e-01 5.510136481187629665e-01
2.431372549019607809e-01 5.258254413520817572e-01 4.930894998901931281e-01 5.547595605267616747e-01
2.470588235294117752e-01 5.296636484619459129e-01 4.970501217477084066e-01 5.584703924583728218e-01
2.509803921568627416e-01 5.334687660243562224e-01 5.009794328681196340e-01 5.621470215705433038e-01
2.549019607843137081e-01 5.372415897463028722e-01 5.048781642974012884e-01 5.657902902509938103e-01
2.588235294117646745e-01 5.409828843012266519e-01 5.087470190691683047e-01 5.694010075541152682e-01
2.627450980392156965e-01 5.446933849894636248e-01 5.125866736847688454e-01 5.729799510029982557e-01
2.666666666666666630e-01 5.483737992864812227e-01 5.163977794943221955e-01 5.765278682687055012e-01
2.705882352941176294e-01 5.520248082880201412e-01 5.201809639866856738e-01 5.800454787368252152e-01
2.745098039215686514e-01 5.556470680603972090e-01 5.239368319955838293e-01 5.835334749703883217e-01
2.784313725490196179e-01 5.592412109034533563e-01 5.276659668284658933e-01 5.869925240773848918e-01
2.823529411764705843e-01 5.628078465329467983e-01 5.313689313240571588e-01 5.904232689903504694e-01
2.862745098039215508e-01 5.663475631885710460e-01 5.350462688440332792e-01 5.938263296648158551e-01
2.901960784313725172e-01 5.698609286732286838e-01 5.386985042037637506e-01 5.972023042028008488e-01
2.941176470588235392e-01 5.733484913286939211e-01 5.423261445466404096e-01 6.005517699069883308e-01
2.980392156862745057e-01 5.768107809523514984e-01 5.459296801661130960e-01 6.038752842707166835e-01
3.019607843137254721e-01 5.802483096592957468e-01 5.495095852792064584e-01 6.071733859084915697e-01
3.058823529411764941e-01 5.836615726937128823e-01 5.530663187549721416e-01 6.104465954313121889e-01
3.098039215686274606e-01 5.870510491931378860e-01 5.566003248010438220e-01 6.136954162707479732e-01
3.137254901960784270e-01 5.904172029088865514e-01 5.601120336112038745e-01 6.169203354553772778e-01
3.176470588235293935e-01 5.937604828856862804e-01 5.636018619766345328e-01 6.201218243428980870e-01
3.215686274509803599e-01 5.970813241032945085e-01 5.670702138633102463e-01 6.233003393109579626e-01
3.254901960784313819e-01 6.003801480826631565e-01 5.705174809577979733e-01 6.264563224095027749e-01
